dataset,sentenceid,sentence,category,sub_cat,polarity,aspect_term
14_laptop_test,860:1,It is the perfect size and speed for me.,,,positive,speed
14_laptop_test,567:1,I like the design and its features but there are somethings I think needs to be improved.,,,positive,features
14_laptop_test,567:1,I like the design and its features but there are somethings I think needs to be improved.,,,positive,design
14_laptop_test,242:1,It's great for streaming video and other entertainment uses.,,,positive,entertainment uses
14_laptop_test,242:1,It's great for streaming video and other entertainment uses.,,,positive,streaming video
14_laptop_test,691:1,The performance is definitely superior to any computer I've ever put my hands on.,,,positive,performance
14_laptop_test,787:568,The thunderbolt port is awesome!,,,positive,thunderbolt port
14_laptop_test,776:1,Shipped very quickly and safely.,,,positive,Shipped
14_laptop_test,928:1,I like coming back to Mac OS but this laptop is lacking in speaker quality compared to my $400  old HP laptop.,,,negative,speaker quality
14_laptop_test,928:1,I like coming back to Mac OS but this laptop is lacking in speaker quality compared to my $400  old HP laptop.,,,positive,Mac OS
14_laptop_test,447:1,"I needed a laptop with big storage, a nice screen and fast so I can photoshop without any problem.",,,neutral,photoshop
14_laptop_test,447:1,"I needed a laptop with big storage, a nice screen and fast so I can photoshop without any problem.",,,neutral,screen
14_laptop_test,447:1,"I needed a laptop with big storage, a nice screen and fast so I can photoshop without any problem.",,,neutral,storage
14_laptop_test,787:193,And as for all the fancy finger swipes -- I just gave up and attached a mouse.,,,neutral,mouse
14_laptop_test,787:193,And as for all the fancy finger swipes -- I just gave up and attached a mouse.,,,negative,finger swipes
14_laptop_test,181:1,After fumbling around with the OS I started searching the internet for a fix and found a number of forums on fixing the issue.,,,negative,OS
14_laptop_test,908:1,"However, it did not have any scratches, ZERO battery cycle count (pretty surprised), and all the hardware seemed to be working perfectly.",,,positive,hardware
14_laptop_test,908:1,"However, it did not have any scratches, ZERO battery cycle count (pretty surprised), and all the hardware seemed to be working perfectly.",,,positive,battery cycle count
14_laptop_test,959:1,"My last laptop was a 17"" ASUS gaming machine, which performed admirably, but having since built my own desktop and really settling into the college life, I found myself wanting something smaller and less cumbersome, not to mention that the ASUS had been slowly developing problems ever since I bought it about 4 years ago.",,,positive,performed
14_laptop_test,555:1,THE CUSTOMER SERVICE IS TERRIFIC!!,,,positive,CUSTOMER SERVICE
14_laptop_test,860:1,It is the perfect size and speed for me.,,,positive,size
14_laptop_test,898:3,It wakes in less than a second when I open the lid.,,,positive,wakes
14_laptop_test,898:3,It wakes in less than a second when I open the lid.,,,neutral,lid
14_laptop_test,786:713,"I just bought the new MacBook Pro, the 13"" model, and I can't believe Apple keeps making the same mistake with regard to USB ports.",,,negative,USB ports
14_laptop_test,29:226,OSX Mountain Lion  soon to upgrade to Mavericks.,,,neutral,Mavericks
14_laptop_test,29:226,OSX Mountain Lion  soon to upgrade to Mavericks.,,,neutral,OSX Mountain Lion
14_laptop_test,507:1,There were small problems with Mac office.,,,negative,Mac office
14_laptop_test,579:1,I understand I should call Apple Tech Support about any variables(which is my purpose of writing this con) as variables could be a bigger future problem.,,,neutral,Apple Tech Support
14_laptop_test,19:0,"I ordered my 2012 mac mini after being disappointed with spec of the new 27"" Imacs.",,,negative,spec
14_laptop_test,341:1,"It still works and it's extremely user friendly, so I would recommend it for new computer user and also for those who are just looking for a more efficient way to do things",,,positive,works
14_laptop_test,29:742,I love the quick start up.,,,positive,start up
14_laptop_test,968:5,"Also, in using the built-in camera, my voice recording for my vlog sounds like the interplanetary transmissions in the ""Star Wars"" saga.",,,negative,voice recording
14_laptop_test,968:5,"Also, in using the built-in camera, my voice recording for my vlog sounds like the interplanetary transmissions in the ""Star Wars"" saga.",,,neutral,built-in camera
14_laptop_test,938:1,!so nice .. stable .. fast .. now i got my SSD !,,,positive,SSD
14_laptop_test,843:3,They are simpler to use.,,,positive,use
14_laptop_test,289:5,"The OS is fast and fluid, everything is organized and it's just beautiful.",,,positive,OS
14_laptop_test,786:1473,I will not be using that slot again.,,,negative,slot
14_laptop_test,662:1,Perfect for all my graphic design classes I'm taking this year in college :-),,,positive,graphic design
14_laptop_test,1131:1,I am please with the products ease of use; out of the box ready; appearance and functionality.,,,positive,functionality
14_laptop_test,1131:1,I am please with the products ease of use; out of the box ready; appearance and functionality.,,,positive,appearance
14_laptop_test,1131:1,I am please with the products ease of use; out of the box ready; appearance and functionality.,,,positive,use
14_laptop_test,533:1,It's absolutely wonderful and worth the price!,,,positive,price
14_laptop_test,204:1,Apple is aware of this issue and this is either old stock or a defective design involving the intel 4000 graphics chipset.,,,neutral,design
14_laptop_test,786:867,I thought the transition would be difficult at best and would take some time to fully familiarize myself with the new Mac ecosystem.,,,neutral,Mac ecosystem
14_laptop_test,202:1,"The Mac mini is about 8x smaller than my old computer which is a huge bonus and runs very quiet, actually the fans aren't audible unlike my old pc",,,positive,fans
14_laptop_test,202:1,"The Mac mini is about 8x smaller than my old computer which is a huge bonus and runs very quiet, actually the fans aren't audible unlike my old pc",,,positive,runs
14_laptop_test,1074:1,"The only thing I dislike is the touchpad, alot of the times its unresponsive and does things I dont want it too, I would recommend using a mouse with it.",,,neutral,mouse
